      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.047       17     +    0    0    0	(N
    0:00.258       93     N    0    0    0
    0:00.906      326     N    0    0    0
    0:01.558      561     N    0    0    0
    0:02.217      798     N    0    0    0
    0:02.825     1017     N    0    0    0
    0:03.481     1253     N    0    0    0
    0:04.133     1488     N    0    0    0
    0:04.806     1730     N    0    0    0
    0:05.464     1967     N    0    0    0
    0:06.133     2208     N    0    0    0
    0:06.800     2448     N    0    0    0
    0:07.478     2692     N    0    0    0
    0:08.153     2935     N    0    0    0
    0:08.844     3184     N    0    0    0
    0:09.542     3435     N    0    0    0
    0:10.239     3686     N    0    0    0
    0:10.931     3935     N    0    0    0
    0:11.617     4182     N    0    0    0
    0:12.297     4427     N    0    0    0
    0:13.006     4682     N    0    0    0
    0:13.703     4933     N    0    0    0
    0:14.397     5183     N    0    0    0
    0:15.069     5425     N    0    0    0
    0:15.772     5678     N    0    0    0
    0:16.469     5929     N    0    0    0
    0:17.161     6178     N    0    0    0
    0:17.825     6417     N    0    0    0
    0:18.556     6680     N    0    0    0
    0:19.239     6926     N    0    0    0
    0:19.900     7164     N    0    0    0
    0:20.572     7406     N    0    0    0
    0:21.275     7659     N    0    0    0
    0:21.956     7904     N    0    0    0
    0:22.636     8149     N    0    0    0
    0:23.269     8377     N    0    0    0
    0:23.939     8618     N    0    0    0
    0:24.611     8860     N    0    0    0
    0:25.269     9097     N    0    0    0
    0:25.922     9332     N    0    0    0
    0:26.586     9571     N    0    0    0
    0:27.269     9817     N    0    0    0
    0:27.939    10058     N    0    0    0
    0:28.606    10298     N    0    0    0
    0:29.261    10534     N    0    0    0
    0:29.961    10786     N    0    0    0
    0:30.647    11033     N    0    0    0
    0:31.328    11278     N    0    0    0
    0:32.022    11528     N    0    0    0
    0:32.717    11778     N    0    0    0
    0:33.417    12030     N    0    0    0
    0:34.111    12280     N    0    0    0
    0:34.828    12538     N    0    0    0
    0:35.536    12793     N    0    0    0
    0:36.236    13045     N    0    0    0
    0:36.931    13295     N    0    0    0
    0:37.647    13553     N    0    0    0
    0:38.347    13805     N    0    0    0
    0:39.042    14055     N    0    0    0
    0:39.725    14301     N    0    0    0
    0:40.428    14554     N    0    0    0
    0:41.122    14804     N    0    0    0
    0:41.811    15052     N    0    0    0
    0:42.514    15305     N    0    0    0
    0:43.222    15560     N    0    0    0
    0:43.917    15810     N    0    0    0
    0:44.611    16060     N    0    0    0
    0:45.306    16310     N    0    0    0
    0:46.011    16564     N    0    0    0
    0:46.719    16819     N    0    0    0
    0:47.425    17073     N    0    0    0
    0:48.108    17319     N    0    0    0
    0:48.811    17572     N    0    0    0
    0:49.517    17826     N    0    0    0
    0:50.219    18079     N    0    0    0
    0:50.928    18334     N    0    0    0
    0:51.656    18596     N    0    0    0
    0:52.381    18857     N    0    0    0
    0:53.089    19112     N    0    0    0
    0:53.772    19358     N    0    0    0
    0:54.528    19630     N    0    0    0
    0:55.233    19884     N    0    0    0
    0:55.958    20145     N    0    0    0
    0:56.667    20400     N    0    0    0
    0:57.394    20662     N    0    0    0
    0:58.069    20905     N    0    0    0
    0:58.789    21164     N    0    0    0
    0:59.500    21420     N    0    0    0
    1:00.211    21676     N    0    0    0
    1:00.869    21913     N    0    0    0
    1:01.547    22157     N    0    0    0
    1:02.239    22406     N    0    0    0
    1:02.939    22658     N    0    0    0
    1:03.617    22902     N    0    0    0
    1:04.289    23144     N    0    0    0
    1:04.944    23380     N    0    0    0
    1:05.650    23634     N    0    0    0
    1:06.331    23879     N    0    0    0
    1:07.025    24129     N    0    0    0
    1:07.711    24376     N    0    0    0
    1:08.403    24625     N    0    0    0
    1:09.097    24875     N    0    0    0
    1:09.792    25125     N    0    0    0
    1:10.489    25376     N    0    0    0
    1:11.200    25632     N    0    0    0
    1:11.886    25879     N    0    0    0
    1:12.578    26128     N    0    0    0
    1:13.261    26374     N    0    0    0
    1:13.958    26625     N    0    0    0
    1:14.642    26871     N    0    0    0
    1:15.314    27113     N    0    0    0
    1:16.000    27360     N    0    0    0
    1:16.700    27612     N    0    0    0
    1:17.383    27858     N    0    0    0
    1:18.072    28106     N    0    0    0
    1:18.778    28360     N    0    0    0
    1:19.483    28614     N    0    0    0
    1:20.189    28868     N    0    0    0
    1:20.894    29122     N    0    0    0
    1:21.606    29378     N    0    0    0
    1:22.311    29632     N    0    0    0
    1:23.025    29889     N    0    0    0
    1:23.736    30145     N    0    0    0
    1:24.453    30403     N    0    0    0
    1:25.164    30659     N    0    0    0
    1:25.839    30902     N    0    0    0
    1:26.525    31149     N    0    0    0
    1:27.228    31402     N    0    0    0
    1:27.925    31653     N    0    0    0
    1:28.622    31904     N    0    0    0
    1:29.278    32140     N    0    0    0
    1:29.961    32386     N    0    0    0
    1:30.667    32640     N    0    0    0
    1:31.356    32888     N    0    0    0
    1:32.053    33139     N    0    0    0
    1:32.761    33394     N    0    0    0
    1:33.433    33636     N    0    0    0
    1:34.131    33887     N    0    0    0
    1:34.822    34136     N    0    0    0
    1:35.533    34392     N    0    0    0
    1:36.197    34631     N    0    0    0
    1:36.867    34872     N    0    0    0
    1:37.533    35112     N    0    0    0
    1:38.225    35361     N    0    0    0
    1:38.892    35601     N    0    0    0
    1:39.561    35842     N    0    0    0
    1:40.211    36076     N    0    0    0
    1:40.875    36315     N    0    0    0
    1:41.569    36565     N    0    0    0
    1:42.244    36808     N    0    0    0
    1:42.931    37055     N    0    0    0
    1:43.631    37307     N    0    0    0
    1:44.322    37556     N    0    0    0
    1:45.000    37800     N    0    0    0
    1:45.692    38049     N    0    0    0
    1:46.394    38302     N    0    0    0
    1:47.089    38552     N    0    0    0
    1:47.789    38804     N    0    0    0
    1:48.492    39057     N    0    0    0
    1:49.231    39323     N    0    0    0
    1:49.950    39582     N    0    0    0
    1:50.667    39840     N    0    0    0
    1:51.378    40096     N    0    0    0
    1:52.108    40359     N    0    0    0
    1:52.814    40613     N    0    0    0
    1:53.536    40873     N    0    0    0
    1:54.244    41128     N    0    0    0
    1:54.975    41391     N    0    0    0
    1:55.681    41645     N    0    0    0
    1:56.400    41904     N    0    0    0
    1:57.114    42161     N    0    0    0
    1:57.831    42419     N    0    0    0
    1:58.542    42675     N    0    0    0
    1:59.253    42931     N    0    0    0
    1:59.986    43195     N    0    0    0
    2:00.706    43454     N    0    0    0
    2:01.425    43713     N    0    0    0
    2:02.131    43967     N    0    0    0
    2:02.872    44234     N    0    0    0
    2:03.614    44501     N    0    0    0
    2:04.375    44775     N    0    0    0
    2:05.117    45042     N    0    0    0
    2:05.858    45309     N    0    0    0
    2:06.597    45575     N    0    0    0
    2:07.322    45836     N    0    0    0
    2:08.061    46102     N    0    0    0
    2:08.789    46364     N    0    0    0
    2:09.503    46621     N    0    0    0
    2:10.203    46873     N    0    0    0
    2:10.931    47135     N    0    0    0
    2:11.644    47392     N    0    0    0
